id | url | detected_activity | severity | timestamp
78 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 21:50:20
79 | http://hiddengvk2ka4p5epjjvrmy6kikeos43weo5rrasvbd2tlgdijygubqd.onion/porn-haker | hidden marketplace | Medium | 2024-11-19 21:51:05
80 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-19 22:14:42
81 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-19 22:15:31
82 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-19 22:16:37
83 | http://hiddengvk2ka4p5epjjvrmy6kikeos43weo5rrasvbd2tlgdijygubqd.onion/porn-haker | hidden marketplace | Medium | 2024-11-19 22:17:36
84 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-20 10:38:57
85 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-20 10:39:46
86 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-20 10:40:58
87 | http://hiddengvk2ka4p5epjjvrmy6kikeos43weo5rrasvbd2tlgdijygubqd.onion/porn-haker | hidden marketplace | Medium | 2024-11-20 10:41:50
88 | http://moneybahbkzqner2efp4tg2ev73mxt5amkjadyxkhnndz6gmwz7ttoqd.onion/product-category/drugs/ | hidden marketplace | Medium | 2024-11-20 13:34:19
89 | http://shopj57b64bbxtqs3ji4qj7bwmzomxa7y6epky3gu2n5qqhy26slejad.onion/product-category/drugs/ | hidden marketplace | Medium | 2024-11-20 13:37:21
90 | http://docuy2acomn6bilcx2qm4gvc4l6s2q5vtyyg6m2uxv64jm4fo6gb7zid.onion/category/buy-drugs/ | cocaine | High | 2024-11-20 13:38:20
91 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 14:17:13
92 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 14:23:15
93 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 14:31:05
94 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 14:39:52
95 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 14:48:11
96 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 14:58:31
97 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 15:11:49
98 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 15:21:15
99 | http://blkchairbknpn73cfjhevhla7rkp4ed5gg2knctvv7it4lioy22defid.onion/bitcoin/block/869758 | crypto wallet | Medium | 2024-11-20 15:26:04
100 | http://wxce7ivrnzl3qep53sdeq4lkkor4ha2j5nq4pqcfndu5zrvodnyqtcid.onion/ | No activity detected | Low | 2024-11-20 15:39:50
101 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | No activity detected | Low | 2024-11-20 15:43:43
102 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | No activity detected | Low | 2024-11-20 16:11:11
103 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-20 16:12:57
104 | http://docuy2acomn6bilcx2qm4gvc4l6s2q5vtyyg6m2uxv64jm4fo6gb7zid.onion/product-category/buy-guns/ | explosives | High | 2024-11-20 16:16:11
105 | http://wvaelbpvuh4x6lldesvkkycelyrt3vrzlig7ktujqkyoga4h6ypvzjqd.onion/product-category/guns/ | black market | High | 2024-11-20 16:17:58
106 | http://libertywigaxfplcwymrpbgwcnyelzu42r4lchpp7h4onr4c4dnwndad.onion/ | ammunition | High | 2024-11-20 16:20:42
107 | http://bmgunsszmlrt3wvghzthp45nbzftx7udgrlkderdn4vbexakhfx3m7id.onion/?product_cat=guns | black market | High | 2024-11-20 16:23:35
108 | http://kjsba5xgjjatgwpgcyybbsjcc2bzsnjbpt6xnl4ginhqkeqlkikemzid.onion/product/buy-ak-47-weed-online/ | cocaine | High | 2024-11-20 16:43:02
109 | http://docuy2acomn6bilcx2qm4gvc4l6s2q5vtyyg6m2uxv64jm4fo6gb7zid.onion/product-category/buy-guns/ | explosives | High | 2024-11-20 18:54:27
110 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-20 20:53:19
111 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-22 07:53:13
112 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-22 07:56:20
113 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-22 07:57:09
114 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-22 07:57:59
115 | http://hiddengvk2ka4p5epjjvrmy6kikeos43weo5rrasvbd2tlgdijygubqd.onion/porn-haker | hidden marketplace | Medium | 2024-11-22 08:00:31
116 | http://shopj57b64bbxtqs3ji4qj7bwmzomxa7y6epky3gu2n5qqhy26slejad.onion/product-category/drugs/ | hidden marketplace | Medium | 2024-11-22 08:02:57
117 | http://docuy2acomn6bilcx2qm4gvc4l6s2q5vtyyg6m2uxv64jm4fo6gb7zid.onion/product-category/buy-guns/ | explosives | High | 2024-11-22 08:04:41
118 | http://wvaelbpvuh4x6lldesvkkycelyrt3vrzlig7ktujqkyoga4h6ypvzjqd.onion/product-category/guns/ | black market | High | 2024-11-22 08:05:10
119 | http://libertywigaxfplcwymrpbgwcnyelzu42r4lchpp7h4onr4c4dnwndad.onion/ | ammunition | High | 2024-11-22 08:06:18
120 | http://bmgunsszmlrt3wvghzthp45nbzftx7udgrlkderdn4vbexakhfx3m7id.onion/?product_cat=guns | black market | High | 2024-11-22 08:07:50
